papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
CURY3;12.43;10.61;4.91;1.673;0.0581;1.303;3.48;7.82;29.9;7.43;7.63;0.214;0.1609;0.2268;0.46299999999999997;2.05;16684400.0;738300000.0;0.62;0.3615
CVCB3;3.8;-2.18;2.53;0.868;0.0;0.234;-1.13;-8.79;-0.68;-11.19;14.8;-0.0987;-0.3973;-0.0374;-1.1629;0.73;80481900.0;416109000.0;2.22;-0.132
CXSE3;8.52;8.66;2.35;0.0;0.0761;2.183;30.08;-254.83;30.18;-245.68;-245.71;0.0;0.0;-0.009300000000000001;0.2712;2.04;14197900.0;10889100000.0;0.0;0.0
CYRE3;15.96;7.79;0.95;1.191;0.0354;0.407;1.29;8.95;-26.02;11.39;10.24;0.133;0.1591;0.0558;0.1216;2.59;110845000.0;6732790000.0;0.65;0.1671
DASA3;8.3;-13.59;0.63;0.368;0.0118;0.184;4.06;6.59;-0.42;17.78;6.85;0.0559;-0.0271;0.0322;-0.0462;1.2;2843230.0;7352800000.0;1.36;0.3766
DESK3;8.9;16.75;0.84;1.221;4.9838;0.321;9.48;4.89;-0.74;8.53;5.21;0.2494;0.08529999999999999;0.077;0.050300000000000004;1.23;1423830.0;920907000.0;0.95;0.0
DEXP3;7.51;5.29;1.27;0.324;0.0512;0.545;1.26;3.52;3.36;4.29;3.81;0.09210000000000002;0.0735;0.1873;0.2403;2.99;900988.0;555602000.0;0.57;0.345
DEXP4;6.71;4.72;1.14;0.29;0.0605;0.487;1.13;3.14;3.0;3.91;3.47;0.09210000000000002;0.0735;0.1873;0.2403;2.99;49228.9;555602000.0;0.57;0.345
DIRR3;15.53;13.2;1.72;1.101;0.0753;0.375;0.95;5.84;-1.67;6.66;5.86;0.1886;0.1158;0.081;0.13;3.92;28586700.0;1358120000.0;1.11;0.19269999999999998
DMFN3;14.61;3.63;0.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2638;0.0;4033.95;13938000.0;0.0;-0.17600000000000002
DMVF3;3.51;7.61;0.21;0.127;0.0;0.123;2.66;1.46;-0.88;1.26;0.7;0.08710000000000001;0.0167;0.1024;0.0276;1.2;178218.0;846554000.0;0.03;0.2918
DOHL4;4.13;14.47;0.44;0.488;0.032;0.323;0.75;30.59;1.21;35.46;13.14;0.0159;0.0337;0.011399999999999999;0.0305;5.08;6649.32;708641000.0;0.13;0.096
DXCO3;6.48;7.18;0.92;0.639;0.045899999999999996;0.347;2.84;3.84;-1.21;6.55;4.1;0.1664;0.0901;0.1119;0.12869999999999998;1.58;35892700.0;5872340000.0;0.95;0.1697
EALT3;8.09;4.21;0.89;0.374;0.0337;0.348;-14.38;3.38;-1.54;5.57;4.3;0.1108;0.0888;0.1137;0.21109999999999998;0.94;2835.2;204685000.0;0.63;0.1765
EALT4;7.18;3.74;0.79;0.332;0.0418;0.309;-12.76;3.0;-1.37;5.19;4.01;0.1108;0.0888;0.1137;0.21109999999999998;0.94;129823.0;204685000.0;0.63;0.1765
ECOR3;4.5;20.81;1.39;0.577;0.0017000000000000001;0.174;-4.54;2.37;-0.25;9.57;6.59;0.2433;0.024;0.0866;0.0668;0.81;21736300.0;2253490000.0;5.34;0.1365
EGIE3;40.4;12.38;3.91;2.769;0.0546;0.863;22.15;6.31;-1.47;9.21;7.74;0.4387;0.2238;0.1475;0.3157;1.25;71854600.0;8436520000.0;2.06;0.0889
EKTR3;39.0;7.66;2.64;0.901;0.1813;0.761;14.53;4.03;-1.76;6.41;5.49;0.2238;0.1175;0.2177;0.3442;1.23;989.39;2865000000.0;1.75;0.0851
EKTR4;37.89;7.45;2.56;0.875;0.2053;0.74;14.12;3.91;-1.71;6.29;5.39;0.2238;0.1175;0.2177;0.3442;1.23;10982.1;2865000000.0;1.75;0.0851
ELET3;33.07;16.21;0.68;2.026;0.0152;0.286;4.04;11.96;-0.68;17.6;12.26;0.16940000000000002;0.1258;0.026099999999999998;0.0421;1.76;396482000.0;111495000000.0;0.5;0.049800000000000004
ELET5;65.0;31.87;1.34;3.982;0.0;0.561;7.95;23.51;-1.35;29.14;20.3;0.16940000000000002;0.1258;0.026099999999999998;0.0421;1.76;1103.56;111495000000.0;0.5;0.049800000000000004
ELET6;34.89;17.11;0.72;2.138;0.0301;0.301;4.27;12.62;-0.72;18.26;12.72;0.16940000000000002;0.1258;0.026099999999999998;0.0421;1.76;97091900.0;111495000000.0;0.5;0.049800000000000004
ELMD3;15.21;-259.68;2.88;3.043;0.0;1.067;-10.61;24.46;-2.83;30.64;14.0;0.1244;0.0024;0.0504;-0.0111;0.64;8056340.0;739445000.0;0.91;1.011
EMAE4;47.5;16.85;1.89;3.283;0.018600000000000002;0.929;3.46;424.93;-5.13;330.5;137.85;0.0077;0.1948;0.0028000000000000004;0.11230000000000001;5.49;240879.0;927120000.0;0.0;0.1894
EMBR3;18.15;-12.66;1.01;0.663;0.0;0.25;1.02;8.76;-1.52;13.86;8.39;0.0756;-0.056799999999999996;0.038;-0.07980000000000001;1.77;118238000.0;13311700000.0;1.27;0.1017
ENAT3;12.68;8.79;0.82;1.549;0.13470000000000001;0.407;2.72;3.77;-2.79;3.52;2.56;0.41090000000000004;0.17620000000000002;0.18280000000000002;0.0933;1.72;16180700.0;4109820000.0;0.54;0.28300000000000003
ENBR3;22.24;12.65;1.21;0.748;0.1149;0.349;11.22;2.97;-0.87;5.22;4.43;0.2521;0.0701;0.1391;0.09519999999999999;1.13;99113400.0;10725900000.0;1.31;0.0683
ENEV3;11.84;17.71;1.35;3.415;0.0;0.581;2.8;14.85;-2.79;19.34;13.04;0.2299;0.19260000000000002;0.056799999999999996;0.0764;2.34;138810000.0;13871700000.0;1.05;0.1653
ENGI11;39.81;6.92;1.39;0.595;0.0291;0.272;5.74;2.66;-0.52;6.25;5.16;0.2235;0.09630000000000001;0.1173;0.2011;1.22;105426000.0;11665100000.0;2.37;0.1568
ENGI3;12.75;11.08;2.23;0.953;0.0182;0.436;9.2;4.27;-0.83;7.85;6.48;0.2235;0.09630000000000001;0.1173;0.2011;1.22;230392.0;11665100000.0;2.37;0.1568
ENGI4;7.55;6.56;1.32;0.564;0.030699999999999998;0.258;5.45;2.53;-0.49;6.11;5.05;0.2235;0.09630000000000001;0.1173;0.2011;1.22;242854.0;11665100000.0;2.37;0.1568
ENJU3;0.89;-1.91;0.46;1.328;0.0;0.408;0.55;-1.57;0.57;1.33;1.55;-0.8432999999999999;-0.6936;-1.2365000000000002;-0.2427;8.04;892057.0;383688000.0;0.0;0.2758
ENMT3;79.2;14.31;5.11;2.324;0.0447;1.48;29.45;8.86;-3.43;10.96;9.76;0.2622;0.1624;0.1838;0.3568;1.22;15106.1;3395870000.0;1.39;0.1606
ENMT4;82.5;14.91;5.32;2.421;0.0429;1.542;30.68;9.23;-3.57;11.33;10.09;0.2622;0.1624;0.1838;0.3568;1.22;2504.76;3395870000.0;1.39;0.1606
EPAR3;9.89;2.44;1.57;0.13;0.0;0.548;1.85;2.02;4.72;2.44;2.15;0.0642;0.053200000000000004;0.40159999999999996;0.6456000000000001;1.63;12597.1;93395000.0;0.71;0.43329999999999996
EQMA3B;23.01;6.36;1.19;0.744;0.0882;0.477;5.75;3.29;-1.61;4.51;3.76;0.22579999999999997;0.11689999999999999;0.17300000000000001;0.18780000000000002;1.37;2382.95;3161970000.0;0.69;0.0955
EQPA3;5.83;9.31;2.96;1.49;0.1515;1.013;7.65;5.5;-3.51;6.49;5.56;0.2708;0.16010000000000002;0.2378;0.318;1.56;38159.1;4349990000.0;0.97;0.1306
EQPA7;8.0;12.78;4.06;2.045;0.1104;1.391;10.5;7.55;-4.82;8.53;7.32;0.2708;0.16010000000000002;0.2378;0.318;1.56;3590.24;4349990000.0;0.97;0.1306
EQTL3;26.05;12.6;1.81;1.079;0.0246;0.415;4.58;4.74;-0.86;8.5;7.19;0.22769999999999999;0.1018;0.1032;0.1434;1.54;183364000.0;16283100000.0;1.91;0.25489999999999996
ESPA3;1.25;-44.92;0.66;0.553;0.0;0.217;1.56;9.28;-0.69;25.92;10.12;0.059500000000000004;-0.0165;0.0245;-0.0147;1.65;4681190.0;684239000.0;1.29;0.0843
ETER3;10.33;4.64;0.94;0.537;0.0971;0.522;1.48;3.97;3.77;3.8;3.34;0.1353;0.11599999999999999;0.15380000000000002;0.20350000000000001;2.52;7545260.0;676188000.0;0.13;0.2737
EUCA3;9.7;2.46;0.44;0.348;0.07400000000000001;0.244;1.52;2.03;-3.68;3.15;2.33;0.17129999999999998;0.1177;0.1336;0.1772;1.75;153006.0;2062360000.0;0.3;0.2087
EUCA4;10.43;2.64;0.47;0.374;0.0758;0.262;1.64;2.19;-3.95;3.3;2.45;0.17129999999999998;0.1177;0.1336;0.1772;1.75;1060900.0;2062360000.0;0.3;0.2087
EVEN3;4.82;7.0;0.53;0.432;0.0311;0.158;0.37;4.01;1.06;2.98;2.87;0.10779999999999999;0.1051;0.0453;0.0754;2.48;4636230.0;1936160000.0;0.24;0.115
EZTC3;13.48;8.15;0.67;3.019;0.058899999999999994;0.54;1.53;17.6;2.11;15.17;14.29;0.17149999999999999;0.3912;0.0371;0.0818;5.47;36303000.0;4470660000.0;0.11;0.3057
FESA3;58.46;4.86;1.7;1.645;0.0836;1.269;4.34;4.24;7.72;3.8;3.33;0.3882;0.3385;0.3969;0.34950000000000003;3.35;2972.51;3039680000.0;0.11;0.2544
FESA4;53.62;4.46;1.56;1.509;0.1003;1.164;3.98;3.89;7.08;3.45;3.02;0.3882;0.3385;0.3969;0.34950000000000003;3.35;10647400.0;3039680000.0;0.11;0.2544
FHER3;16.94;2.6;2.06;0.158;0.0;0.298;1.08;2.25;-3.03;2.72;2.53;0.0701;0.0608;0.19399999999999998;0.7953;1.57;1283060.0;442020000.0;0.5;0.15689999999999998
FIQE3;3.4;10.2;1.24;1.95;0.0246;0.648;3.15;7.68;-8.83;6.19;3.23;0.2539;0.1913;0.1322;0.12140000000000001;2.05;957894.0;994630000.0;0.38;0.0
FLRY3;14.67;15.49;2.81;1.234;0.0593;0.794;10.68;7.25;-1.78;11.08;6.96;0.17010000000000003;0.08;0.13;0.1816;1.38;39624400.0;1914900000.0;1.89;0.1422
FRAS3;10.4;13.71;1.59;0.918;0.0336;0.746;1.97;7.01;9.3;6.66;5.12;0.1311;0.0665;0.17300000000000001;0.1161;2.66;3419950.0;1763900000.0;0.52;0.2981
GEPA3;24.39;15.47;1.12;1.702;0.0983;0.613;-5.03;6.55;-1.73;8.78;5.73;0.2597;0.11;0.1125;0.0722;0.44;1109.24;2063530000.0;0.46;-0.0039000000000000003
GEPA4;25.3;16.05;1.16;1.765;0.09480000000000001;0.636;-5.22;6.8;-1.8;9.03;5.89;0.2597;0.11;0.1125;0.0722;0.44;15603.7;2063530000.0;0.46;-0.0039000000000000003
GFSA3;8.27;-13.87;0.24;0.41;0.0;0.072;0.22;-50.18;-3.43;-244.6;85.8;-0.008199999999999999;-0.029900000000000003;-0.0016;-0.0175;1.93;60277200.0;1741480000.0;1.28;0.11689999999999999
GGBR3;24.65;3.61;0.89;0.501;0.14300000000000002;0.559;2.32;2.49;10.98;2.92;2.49;0.201;0.1393;0.2683;0.24780000000000002;2.32;960104.0;46116200000.0;0.27;0.2021
GGBR4;28.62;4.19;1.04;0.581;0.1232;0.649;2.69;2.89;12.75;3.32;2.83;0.201;0.1393;0.2683;0.24780000000000002;2.32;317168000.0;46116200000.0;0.27;0.2021
GGPS3;12.59;16.32;3.25;0.915;0.0;0.937;2.6;9.42;-6.99;10.09;8.31;0.0971;0.056100000000000004;0.145;0.19949999999999998;2.65;30438300.0;2590380000.0;1.27;0.36579999999999996
GMAT3;5.37;11.27;1.59;0.545;0.0;0.894;1.96;9.99;3.85;11.14;8.73;0.0546;0.0489;0.12560000000000002;0.1412;3.2;38557300.0;7455610000.0;0.42;0.3823
GOAU3;11.85;3.27;0.74;0.149;0.0999;0.164;0.65;0.74;2.58;1.12;0.95;0.20079999999999998;0.1391;0.26780000000000004;0.2275;2.39;1880380.0;16456600000.0;0.77;0.2021
GOAU4;12.71;3.51;0.8;0.159;0.0931;0.176;0.7;0.79;2.77;1.17;1.0;0.20079999999999998;0.1391;0.26780000000000004;0.2275;2.39;92627200.0;16456600000.0;0.77;0.2021
GPAR3;45.0;4.13;3.0;18.512;0.5051;2.731;5.06;69.18;5.24;54.45;53.76;0.2676;4.4828;0.0947;0.7259;8.74;1402.51;1169910000.0;0.0;-0.0329
GPIV33;2.49;-0.49;0.12;-0.424;0.0;0.062;0.38;-0.31;-314.59;0.51;0.51;1.3835;1.3605;-0.25780000000000003;-0.2541;3.41;66182.7;1582410000.0;0.1;1.2397
GRND3;7.49;11.9;1.55;2.689;0.0408;1.401;2.64;23.75;2.69;20.13;15.23;0.11320000000000001;0.2261;0.07980000000000001;0.13019999999999998;7.28;12119600.0;4364130000.0;0.03;0.0275
GUAR3;4.74;45.52;0.45;0.28;0.0296;0.155;0.61;8.8;9.67;14.98;4.64;0.0318;0.0060999999999999995;0.0227;0.009899999999999999;1.62;13292300.0;5263090000.0;0.78;0.024900000000000002
HAPV3;2.92;-26.89;0.43;0.878;0.0;0.285;45.61;-29.47;-1.26;-39.53;18.91;-0.0298;-0.0327;-0.0104;-0.0159;1.06;356162000.0;48749400000.0;0.24;0.4704
HBOR3;2.1;5.22;0.21;0.332;0.0861;0.055;0.14;5.54;-10.61;31.36;21.71;0.0599;0.1033;0.010700000000000001;0.0395;2.95;1976450.0;1361990000.0;1.19;0.16210000000000002
HBRE3;4.24;2.44;0.23;3.296;0.0;0.109;2.7;1.26;-0.36;3.42;3.41;2.6228;1.5795;0.0947;0.0953;1.6;376346.0;1885330000.0;0.58;0.6626000000000001
HBSA3;1.96;-38.1;1.02;0.991;0.0;0.223;1.77;8.5;-0.39;31.11;10.3;0.1165;-0.026000000000000002;0.030699999999999998;-0.0268;2.36;10084300.0;1461770000.0;3.28;0.18989999999999999
HBTS5;27.0;22.26;0.49;1.512;0.042800000000000005;0.177;6.17;3.63;-0.33;6.52;6.4;0.4163;0.0678;0.051100000000000007;0.0222;1.35;998.02;499826000.0;0.51;1.0443
HYPE3;42.32;15.8;2.52;3.552;0.0291;1.128;8.11;10.89;-5.87;13.63;12.75;0.32630000000000003;0.22510000000000002;0.12029999999999999;0.1594;1.63;175728000.0;10645800000.0;0.9;0.2216
IFCM3;2.67;-4.48;0.64;1.228;0.0;0.293;6.39;-13.13;-1.48;-17.49;34.49;-0.0935;-0.2741;-0.0301;-0.1438;1.15;1761030.0;1515790000.0;0.39;0.0
IGTI11;19.27;765.36;1.42;5.699;0.0123;0.72;12.35;12.72;-3.28;15.51;11.49;0.4482;0.0126;0.0735;0.0018;1.27;55821800.0;4093330000.0;0.76;0.0843
IGTI3;2.51;697.84;1.29;5.196;0.0134;0.656;11.26;11.59;-2.99;14.38;10.66;0.4482;0.0126;0.0735;0.0018;1.27;266207.0;4093330000.0;0.76;0.0843
INTB3;29.37;20.03;4.31;2.273;0.0124;1.929;4.64;20.68;8.89;19.69;17.12;0.1099;0.11320000000000001;0.192;0.21530000000000002;2.19;32985100.0;2231040000.0;0.49;0.36469999999999997
IRBR3;19.71;-2.57;0.4;0.23;0.0;0.071;0.0;-0.9;0.0;0.0;0.0;-0.2547;-0.0894;0.0;-0.1547;0.0;63568400.0;4073510000.0;0.0;-0.4819
ITSA3;8.45;5.67;1.16;9.361;0.054299999999999994;0.854;25.76;63.25;-7.99;68.95;42.49;0.14800000000000002;1.733;0.0147;0.2043;1.4;1540080.0;70827000000.0;0.2;0.1537
ITSA4;8.3;5.57;1.14;9.195;0.0553;0.839;25.31;62.13;-7.85;67.83;41.8;0.14800000000000002;1.733;0.0147;0.2043;1.4;175961000.0;70827000000.0;0.2;0.1537
ITUB3;21.6;7.13;1.31;0.0;0.04650000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1832;0.0;14366300.0;162100000000.0;0.0;-0.36979999999999996
ITUB4;25.14;8.3;1.52;0.0;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1832;0.0;900209000.0;162100000000.0;0.0;-0.36979999999999996
JALL3;7.59;2.6;1.05;1.233;0.023399999999999997;0.38;1.64;7.99;-1.34;15.41;4.95;0.15439999999999998;0.4747;0.0587;0.4053;2.86;5764210.0;2125260000.0;1.45;0.30469999999999997
JBSS3;19.86;2.25;0.99;0.116;0.1013;0.214;1.67;1.42;-0.59;3.91;2.98;0.08199999999999999;0.0541;0.1975;0.4422;1.46;199939000.0;44282100000.0;2.14;0.2274
JHSF3;4.41;3.71;0.6;1.513;0.0327;0.306;1.39;3.23;-1.73;5.26;4.96;0.46840000000000004;0.4052;0.1038;0.1623;3.51;12879500.0;4970930000.0;0.55;0.5257999999999999
JOPA3;21.61;7.11;0.4;0.105;0.0383;0.091;0.25;1.93;1.85;7.27;6.38;0.0546;0.0179;0.07339999999999999;0.056299999999999996;1.93;27623.4;571085000.0;2.35;0.2003
JPSA3;29.02;20.27;1.93;4.667;0.0029;0.468;2.34;12.96;-1.68;20.35;12.83;0.3602;0.4631;0.045599999999999995;0.0951;5.31;7666510.0;1762140000.0;1.94;0.0101
JSLG3;7.49;11.05;1.52;0.356;0.0604;0.26;3.31;3.15;-0.49;8.88;6.09;0.113;0.0322;0.1011;0.1374;1.37;3273870.0;1413710000.0;3.37;-0.1306
KEPL3;20.31;4.77;3.06;1.005;0.09880000000000001;1.433;5.39;3.68;7.73;3.34;3.15;0.2734;0.2107;0.5735;0.6404000000000001;1.59;15139200.0;597270000.0;0.29;0.3549
KLBN11;19.7;4.72;2.32;1.105;0.0751;0.465;3.66;3.37;-0.94;6.58;4.44;0.3276;0.24559999999999998;0.1721;0.49079999999999996;1.94;132335000.0;9559480000.0;2.88;0.2043
KLBN3;3.98;4.77;2.34;1.116;0.07429999999999999;0.47;3.7;3.41;-0.95;6.61;4.46;0.3276;0.24559999999999998;0.1721;0.49079999999999996;1.94;2962910.0;9559480000.0;2.88;0.2043
KLBN4;3.94;4.72;2.32;1.105;0.0751;0.465;3.66;3.37;-0.94;6.58;4.44;0.3276;0.24559999999999998;0.1721;0.49079999999999996;1.94;16140700.0;9559480000.0;2.88;0.2043
KRSA3;0.94;-5.94;0.61;0.378;0.0;0.15;1.56;3.53;-0.35;13.45;8.83;0.107;-0.0574;0.0484;-0.1027;1.46;495808.0;1192960000.0;2.08;0.0
LAVV3;5.4;9.38;0.92;1.94;0.1142;0.559;0.91;11.99;1.28;7.72;7.64;0.1618;0.2357;0.060700000000000004;0.0981;4.53;2355260.0;1171690000.0;0.04;0.4457
LEVE3;31.89;7.14;2.48;1.01;0.1409;1.302;4.25;5.96;8.83;6.14;5.38;0.1696;0.1409;0.278;0.3478;1.96;7185280.0;1647100000.0;0.25;0.13369999999999999
LIGT3;2.67;-9.41;0.12;0.069;0.095;0.036;0.42;0.61;-0.09;5.68;3.93;0.11259999999999999;-0.0073;0.0722;-0.0123;1.41;25666000.0;8557000000.0;1.44;0.046
LIPR3;70.0;30.74;3.83;0.0;0.026000000000000002;3.233;23.34;-140.92;33.85;-129.98;-129.98;0.0;0.0;-0.030600000000000002;0.1246;2.23;2381.37;215087000.0;0.0;0.0
LJQQ3;4.2;280.33;1.51;0.348;0.0;0.278;0.89;7.72;-1.77;6.93;3.5;0.0451;0.0012;0.0482;0.0054;1.91;19156000.0;520369000.0;0.65;0.1463
LOGG3;14.45;3.82;0.41;6.796;0.0635;0.24;8.76;9.05;-0.8;18.09;17.91;0.7513;1.8446;0.0281;0.10769999999999999;1.35;7477400.0;3584650000.0;0.49;0.1748
LOGN3;34.0;8.9;4.13;1.751;0.0;1.05;9.36;10.94;-2.4;13.78;8.99;0.16010000000000002;0.1968;0.1201;0.4645;1.57;3543460.0;875514000.0;1.74;0.195
LPSB3;1.7;19.71;1.27;1.254;0.044500000000000005;0.618;6.04;9.16;-2.63;6.91;4.51;0.1368;0.1476;0.08130000000000001;0.0646;1.58;347292.0;196834000.0;0.0;0.2059
LREN3;19.6;14.84;1.9;1.445;0.0344;0.907;3.17;6.64;9.62;6.26;4.6;0.21739999999999998;0.0973;0.18100000000000002;0.1281;1.86;304299000.0;10087500000.0;0.24;0.1058
LUPA3;5.32;-6.0;1.45;1.428;0.0;0.327;1.23;-16.83;-1.08;-30.41;-72.22;-0.0848;-0.2378;-0.0207;-0.2418;2.28;14001000.0;113746000.0;1.28;-0.034300000000000004
LUXM4;81.4;50.04;3.92;3.091;0.0086;2.763;-811.81;20.42;-19.73;20.35;11.62;0.15130000000000002;0.061799999999999994;0.1509;0.0784;0.98;33339.4;107812000.0;0.1;0.0219
LVTC3;5.8;16.19;0.58;0.35;0.03;0.229;0.74;1.63;-6.08;0.97;0.56;0.215;0.0216;0.17129999999999998;0.0358;2.2;1373090.0;647794000.0;0.0;0.2212
LWSA3;5.32;753.23;1.07;2.923;0.0;0.684;2.85;111.81;7.27;64.36;14.14;0.026099999999999998;0.0039000000000000003;0.009000000000000001;0.0014000000000000002;2.12;48575800.0;2959840000.0;0.03;0.5447
MATD3;8.63;29.69;2.01;2.144;0.0104;0.684;4.29;10.48;-1.74;12.83;10.4;0.2046;0.08349999999999999;0.0747;0.0678;2.75;4336660.0;1639180000.0;0.75;0.0
MBLY3;3.0;-3.56;0.56;0.49;0.0;0.36;0.9;-3.36;1.58;-2.9;-9.34;-0.1458;-0.1375;-0.16399999999999998;-0.15710000000000002;3.13;3167650.0;570425000.0;0.31;-0.08650000000000001
MDIA3;31.92;17.53;1.64;1.136;0.0063;0.968;4.42;14.41;61.69;16.58;11.74;0.0788;0.06480000000000001;0.07780000000000001;0.09359999999999999;2.06;49422300.0;6592030000.0;0.31;0.12689999999999999
MDNE3;5.5;4.41;0.4;0.584;0.0;0.166;0.68;4.02;-0.81;2.91;2.79;0.1454;0.13140000000000002;0.04650000000000001;0.08960000000000001;2.78;864170.0;1181740000.0;0.11;0.2232
MEAL3;2.09;-6.53;0.56;0.26;0.0;0.213;-4.17;-17.04;-0.53;-25.33;14.25;-0.015300000000000001;-0.039900000000000005;-0.0148;-0.08650000000000001;0.81;2230300.0;1059710000.0;0.52;0.0843
MEGA3;8.65;-488.98;1.05;2.211;0.0;0.319;-39.6;10.26;-0.62;23.63;13.27;0.2155;-0.0033;0.0346;-0.0021;0.96;11303700.0;5151090000.0;1.65;9.2252
MELK3;3.05;5.71;0.53;0.601;0.0698;0.289;0.7;5.63;0.92;3.85;3.7;0.10679999999999999;0.13470000000000001;0.061900000000000004;0.0926;2.31;1025330.0;1198550000.0;0.11;0.5444
MERC4;7.51;-23.15;0.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0232;0.0;2997.61;251287000.0;0.0;-0.24969999999999998
MGLU3;3.43;-62.55;2.14;0.652;0.0;0.643;3.06;26.96;-5.2;32.83;14.89;0.0242;-0.0104;0.034;-0.034300000000000004;1.58;598271000.0;10805300000.0;0.66;0.27940000000000004
MILS3;11.49;13.07;2.29;2.591;0.022799999999999997;1.093;3.7;8.33;-16.94;8.85;5.93;0.311;0.19820000000000002;0.2168;0.175;2.84;10057800.0;1237200000.0;0.79;0.36
MLAS3;2.47;4.52;0.48;0.496;0.049800000000000004;0.294;0.52;-19.16;0.7;-23.35;-51.3;-0.0259;0.1097;-0.0192;0.10529999999999999;3.34;7570240.0;4258810000.0;0.22;0.0
MOAR3;455.0;52.78;6.74;121178.0;0.018799999999999997;2.727;9.96;-158.5;-15.1;-160.44;-163.68;-764.543;2296.02;-0.028900000000000002;0.1277;2.94;106674.0;827321000.0;1.08;-0.532
MODL3;1.77;43.75;0.99;0.0;0.0677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0227;0.0;7940770.0;1252920000.0;0.0;0.4437
MOVI3;7.98;5.2;1.04;0.301;0.1815;0.11;0.82;1.09;-0.21;5.21;3.65;0.2757;0.057999999999999996;0.1547;0.201;1.6;30994400.0;2768680000.0;6.4;0.34850000000000003
MRSA5B;27.0;13.18;1.68;1.769;0.0191;0.632;-95.16;6.17;-1.39;8.2;4.69;0.2867;0.13419999999999999;0.11789999999999999;0.12710000000000002;0.96;65.85;5477760000.0;0.82;0.0974
MRVE3;5.96;-14.24;0.49;0.435;0.0663;0.128;0.55;87.15;-0.5;289.51;45.73;0.005;-0.0225;0.0016;-0.0348;2.03;84449400.0;5827440000.0;1.27;0.0582
MSPA3;46.25;-9.18;0.37;1.574;0.0;0.209;8.3;-15.18;-0.59;-20.67;209.0;-0.10369999999999999;-0.1714;-0.0143;-0.0403;1.48;451.22;800313000.0;0.18;0.0805
MTRE3;3.7;10.73;0.39;0.588;0.0613;0.191;0.4;10.22;0.86;14.3;12.73;0.0575;0.0593;0.0227;0.0366;2.92;2216330.0;995189000.0;0.47;0.3257
MTSA4;41.89;4.48;0.99;0.475;0.0633;0.646;1.34;3.28;1.39;2.85;2.63;0.1449;0.10619999999999999;0.2748;0.22089999999999999;2.46;58328.6;372456000.0;0.18;0.31629999999999997
MULT3;25.24;19.71;2.3;8.435;0.028399999999999998;1.394;31.31;13.15;-6.03;14.83;12.58;0.6414;0.428;0.11869999999999999;0.11689999999999999;1.37;122050000.0;6582340000.0;0.45;0.0776
MYPK3;11.53;3.45;0.43;0.107;0.0722;0.117;0.6;1.57;-0.64;5.66;3.9;0.0679;0.0366;0.10039999999999999;0.1257;1.58;17686200.0;4089830000.0;1.52;0.1532
NEOE3;14.38;3.7;0.65;0.408;0.064;0.189;5.5;1.74;-0.4;5.39;4.39;0.2343;0.1119;0.12359999999999999;0.1764;1.17;19364300.0;26739000000.0;1.63;0.1522
NEXP3;5.43;-0.23;0.71;0.121;0.0;0.057;-0.4;-0.39;-0.09;-1.14;-1.63;-0.3139;-0.5166;-0.1753;-3.0263999999999998;0.68;135627.0;20281000.0;2.87;0.037200000000000004
NGRD3;1.19;19.96;0.62;1.069;0.0125;0.401;1.43;87.77;4.06;34.41;3.52;0.012199999999999999;0.049400000000000006;0.0072;0.0311;2.64;920272.0;457956000.0;0.15;0.0933
NINJ3;2.68;-6.09;0.49;2.289;0.0;0.448;0.51;-2.6;0.52;2.75;2.79;-0.8815999999999999;-0.376;-3.6626999999999996;-0.0797;13.24;269737.0;277516000.0;0.0;0.0
NTCO3;15.45;-16.77;0.93;0.568;0.0085;0.392;6.32;15.58;-1.35;22.19;7.59;0.0365;-0.0339;0.0313;-0.0554;1.27;214787000.0;22985000000.0;0.6;-0.0227
NUTR3;300.0;4.63;1.36;0.229;0.0;0.383;1.08;3.54;147.76;4.72;4.5;0.0649;0.0495;0.1288;0.2944;1.96;1463.41;29036000.0;0.51;0.3778
ODPV3;11.71;14.72;5.62;3.499;0.0262;3.296;-30.42;10.09;-19.85;9.74;9.29;0.3467;0.2373;0.37450000000000006;0.38189999999999996;0.7;32770100.0;1184160000.0;0.0;0.0382
OFSA3;26.0;10.74;1.91;1.347;0.026000000000000002;1.042;2.4;8.05;6.04;9.47;8.0;0.1674;0.1255;0.159;0.1775;3.25;289798.0;735950000.0;0.56;0.16390000000000002
ONCO3;7.22;-373.72;1.77;0.982;0.0;0.491;5.8;10.34;-1.36;17.27;11.63;0.0949;0.0109;0.0557;-0.004699999999999999;1.42;10552900.0;2014190000.0;1.48;0.0
OPCT3;2.89;0.0;0.77;0.0;0.0;0.258;-4.98;0.0;-0.56;0.0;0.0;0.0;0.0;0.0;0.0;0.8;1169690.0;751063000.0;1.55;0.0
