papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
BBAS3;40.0;3.72;0.75;0.0;0.1041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2006;0.0;701279000.0;153547000000.0;0.0;0.1753
BBDC3;12.2;6.27;0.84;0.0;0.0751;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1344;0.0;99373300.0;154263000000.0;0.0;0.0613
BBDC4;14.02;7.21;0.97;0.0;0.0719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1344;0.0;811488000.0;154263000000.0;0.0;0.0613
BBSE3;34.86;11.53;9.18;0.0;0.0834;4.322;0.0;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.7957;0.0;222279000.0;7596100000.0;0.0;0.0
BEEF3;11.89;11.07;14.25;0.233;0.0472;0.337;1.49;3.04;-0.98;5.85;4.98;0.0768;0.021099999999999997;0.22;1.2875;1.6;119183000.0;506828000.0;27.16;0.1911
BEES3;6.45;6.17;1.0;0.0;0.09140000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16219999999999998;0.0;127734.0;2035290000.0;0.0;0.0891
BEES4;7.11;6.81;1.1;0.0;0.08289999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16219999999999998;0.0;37997.4;2035290000.0;0.0;0.0891
BGIP4;18.8;3.81;0.48;0.0;0.13119999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1268;0.0;77017.2;595556000.0;0.0;0.0121
BIOM3;4.1;-3.3;2.75;3.286;0.0;0.945;6.78;-4.07;-3.26;-5.46;-5.51;-0.8077;-0.9943000000000001;-0.2956;-0.8309000000000001;1.62;56242.6;121364000.0;1.39;2.5534
BLAU3;29.86;14.77;2.94;3.807;0.028399999999999998;2.144;4.1;11.8;5.37;11.07;10.55;0.32270000000000004;0.25579999999999997;0.26839999999999997;0.1991;4.52;7131450.0;1822160000.0;0.17;0.1629
BLUT3;5.14;-5.63;0.46;0.0;0.0;0.138;-0.76;-42.93;-0.2;-53.97;-53.97;0.0;0.0;-0.0033;-0.0824;0.0;3091.81;56569000.0;0.12;0.0
BLUT4;1.52;-1.66;0.14;0.0;0.0;0.041;-0.22;-12.69;-0.06;-23.74;-23.74;0.0;0.0;-0.0033;-0.0824;0.0;10453.2;56569000.0;0.12;0.0
BMEB3;10.85;5.67;0.89;0.0;0.023399999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1576;0.0;6183.98;1273010000.0;0.0;0.17670000000000002
